Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,958.35","11,958.55","11,864.90","11,936.80","12.05","0.10","5,971.01","28,777.27","12,041.15","10,004.55","11.68","1.61"
"ZEEL","371.00","384.50","352.30","380.65","19.65","5.44","366.40","1,359.17","578.25","288.30","-33.59","-12.01"
"YESBANK","148.95","154.90","148.20","153.45","6.65","4.53","815.29","1,242.51","404.00","132.45","-55.55","-8.66"
"COALINDIA","244.90","251.80","244.45","250.10","6.00","2.46","132.53","330.77","303.45","211.40","-12.18","-0.81"
"INFY","712.00","733.45","709.80","724.80","16.70","2.36","237.48","1,723.11","773.00","599.85","-40.32","-3.53"
"POWERGRID","188.25","191.30","187.80","190.95","3.60","1.92","63.22","119.95","212.70","172.50","-7.73","2.44"
"JSWSTEEL","287.75","297.50","286.75","292.45","4.70","1.63","103.34","303.32","427.55","256.60","-10.59","-5.16"
"TECHM","727.00","746.75","727.00","737.50","11.45","1.58","55.62","409.58","846.50","612.40","9.22","-11.79"
"VEDL","166.50","171.70","165.75","169.00","2.50","1.50","572.84","969.65","258.40","145.80","-33.37","1.29"
"WIPRO","281.00","285.75","279.65","284.65","4.15","1.48","441.08","1,247.94","299.45","190.13","8.11","-4.66"
"RELIANCE","1,319.80","1,334.80","1,313.35","1,329.50","18.85","1.44","194.53","2,575.38","1,417.50","906.60","44.45","-4.54"
"IOC","162.00","164.00","160.10","163.90","1.70","1.05","161.24","262.65","177.20","105.25","-3.84","3.70"
"HINDUNILVR","1,775.00","1,786.00","1,754.50","1,784.15","12.20","0.69","28.62","507.49","1,869.50","1,477.20","12.72","1.50"
"ONGC","173.15","176.40","171.60","174.70","1.05","0.60","166.19","290.22","185.40","127.60","-0.51","3.25"
"TCS","2,060.00","2,097.50","2,045.00","2,066.55","11.40","0.55","58.61","1,217.00","3,616.50","1,711.15","-40.99","-8.57"
"INDUSINDBK","1,615.00","1,632.00","1,596.70","1,620.95","8.15","0.51","20.40","329.88","2,038.00","1,333.15","-15.33","0.90"
"HDFCBANK","2,416.50","2,420.00","2,387.05","2,419.20","10.85","0.45","18.31","440.16","2,449.40","1,885.00","18.46","4.39"
"HINDALCO","200.60","207.15","200.60","201.40","0.80","0.40","121.94","247.97","259.75","182.20","-16.66","-2.26"
"ICICIBANK","435.05","437.35","428.10","437.15","1.65","0.38","232.82","1,008.20","438.80","256.50","46.08","7.28"
"HCLTECH","1,071.00","1,089.95","1,055.25","1,067.30","3.10","0.29","53.04","567.93","1,187.60","880.05","19.32","-9.81"
"ADANIPORTS","420.00","426.80","408.70","412.65","0.25","0.06","182.76","758.13","430.60","292.10","8.91","5.05"
"GAIL","353.90","354.70","345.50","348.50","0.15","0.04","69.99","244.70","399.40","295.25","3.60","-2.09"
"EICHERMOT","21,050.00","21,050.00","20,700.00","20,888.35","1.00","0.00","0.92","190.68","31,499.00","18,205.00","-31.92","2.55"
"BPCL","402.00","409.35","397.10","401.90","-0.10","-0.02","198.95","801.42","429.15","238.55","-0.02","5.80"
"SUNPHARMA","417.00","420.50","410.20","414.70","-0.15","-0.04","79.36","329.27","679.30","344.55","-17.01","-9.38"
"CIPLA","579.00","584.20","571.50","578.10","-0.60","-0.10","24.68","142.64","678.45","483.75","7.15","2.32"
"UPL","1,023.00","1,040.00","1,011.90","1,014.25","-2.20","-0.22","20.87","213.19","1,043.75","537.25","40.67","4.65"
"DRREDDY","2,665.00","2,684.00","2,626.40","2,651.00","-7.00","-0.26","12.52","332.21","2,964.00","1,872.95","32.91","-9.64"
"BRITANNIA","2,910.00","2,925.00","2,880.00","2,888.20","-8.35","-0.29","4.41","128.00","3,467.18","2,615.85","-50.57","-0.27"
"MARUTI","7,067.00","7,130.00","7,031.50","7,043.60","-24.85","-0.35","9.13","645.91","9,929.00","6,317.70","-19.13","5.66"
"ASIANPAINT","1,369.95","1,388.85","1,360.00","1,360.80","-6.05","-0.44","15.60","213.58","1,529.85","1,118.00","2.95","-7.00"
"HDFC","2,167.00","2,169.75","2,114.00","2,155.50","-9.80","-0.45","71.71","1,534.65","2,210.00","1,644.50","17.82","8.04"
"SBIN","360.95","361.70","356.65","360.00","-1.70","-0.47","234.69","843.16","364.00","247.40","32.33","16.15"
"TITAN","1,243.00","1,244.90","1,222.70","1,235.00","-5.95","-0.48","18.07","222.69","1,262.80","732.30","32.95","6.60"
"ITC","291.80","292.00","288.10","288.90","-1.95","-0.67","155.75","450.58","322.95","259.00","4.94","-4.13"
"AXISBANK","816.30","822.10","801.00","808.35","-5.55","-0.68","134.64","1,089.64","822.10","498.75","48.01","5.41"
"TATAMOTORS","181.35","185.30","179.80","179.95","-1.40","-0.77","231.79","422.04","315.55","129.00","-39.27","-16.03"
"NTPC","133.95","134.75","131.70","132.00","-1.20","-0.90","155.52","206.69","146.17","106.67","-21.29","-1.53"
"IBULHSGFIN","799.50","799.70","780.00","784.45","-7.45","-0.94","49.12","387.44","1,397.00","575.35","-35.45","12.80"
"KOTAKBANK","1,533.00","1,533.00","1,500.00","1,513.90","-15.50","-1.01","19.91","300.33","1,555.90","1,002.20","16.71","9.18"
"TATASTEEL","514.10","518.60","505.20","506.35","-6.20","-1.21","99.43","508.55","647.60","441.35","-12.19","-9.13"
"BHARTIARTL","348.75","351.70","341.70","345.15","-4.35","-1.24","84.78","292.87","366.06","253.99","-8.00","7.76"
"BAJFINANCE","3,468.00","3,468.15","3,386.75","3,405.70","-43.30","-1.26","16.25","554.33","3,518.00","1,912.20","62.57","10.01"
"BAJAJFINSV","8,200.00","8,242.50","8,069.50","8,105.05","-108.00","-1.31","2.63","214.39","8,335.00","4,955.00","34.87","7.77"
"LT","1,596.00","1,607.00","1,563.30","1,575.00","-21.00","-1.32","49.80","784.12","1,607.00","1,182.50","14.42","16.79"
"M&M","680.00","682.25","667.25","670.40","-8.95","-1.32","54.06","363.71","993.00","597.20","-21.12","3.89"
"ULTRACEMCO","4,848.50","4,865.00","4,752.70","4,756.75","-84.30","-1.74","6.63","318.00","4,904.95","3,260.45","27.52","3.03"
"GRASIM","938.00","938.00","907.75","911.00","-24.30","-2.60","52.12","476.00","1,093.60","689.10","-14.08","1.09"
"HEROMOTOCO","2,828.00","2,828.00","2,735.00","2,745.25","-75.95","-2.69","8.42","232.37","3,712.20","2,475.00","-23.74","9.29"
"BAJAJ-AUTO","3,067.00","3,108.35","2,962.40","2,972.25","-94.65","-3.09","9.20","277.87","3,194.95","2,420.00","6.53","-0.40"
"INFRATEL","280.00","280.95","267.00","268.20","-11.35","-4.06","53.80","145.23","335.00","242.25","-13.68","2.15"

